title,id,brand,image,originalPrice,salePrice,discount,rating,reviewCount,thumbnails,description,detailImage,performance,extends
PC GVN Intel i5-13400F/ VGA RTX 5060 Ti,1067304025,GEARVN,https://product.hstatic.net/200000722513/product/pc_case_xigmatek_-_26_6b323bf0426c4b0c8671ecfcdaaab57b.png,25990000.0,17153400,0.34,0.4,124,['https://product.hstatic.net/200000722513/product/pc_case_xigmatek_-_26_6b323bf0426c4b0c8671ecfcdaaab57b.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/pc_case_xigmatek_-_26_6b323bf0426c4b0c8671ecfcdaaab57b.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming Lenovo Legion Pro 7 16IAX10H 83F5008VVN,1067273831,LENOVO,https://product.hstatic.net/200000722513/product/legion_pro_7_16iax10h_ct1_03_088b3d2beeec43c8923742a3988abf81.png,81990000.0,45094500,0.45,3.3,318,['https://product.hstatic.net/200000722513/product/legion_pro_7_16iax10h_ct1_03_088b3d2beeec43c8923742a3988abf81.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/legion_pro_7_16iax10h_ct1_03_088b3d2beeec43c8923742a3988abf81.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Tay cầm Machenike G5 Pro Tri-mode Black,1067268979,Machenike,https://product.hstatic.net/200000722513/product/5.png_____4077c4278b7748bd9a656a816256846b.png,890000.0,640800,0.28,2.8,131,['https://product.hstatic.net/200000722513/product/5.png_____4077c4278b7748bd9a656a816256846b.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/5.png_____4077c4278b7748bd9a656a816256846b.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Tay cầm Machenike G5 Pro Tri-mode White,1067266817,Machenike,https://product.hstatic.net/200000722513/product/2.png_____bdd4c2a18a92467e900c259f89e5872d.png,890000.0,658600,0.26,4.7,483,['https://product.hstatic.net/200000722513/product/2.png_____bdd4c2a18a92467e900c259f89e5872d.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/2.png_____bdd4c2a18a92467e900c259f89e5872d.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Code game DOOM: The Dark Ages,1067259403,Khác,https://product.hstatic.net/200000722513/product/geforce-doom-tda-50-series-bundl-800x800_5b8fe565ba7741c49b07a2bffc41b00f.png,0.0,0,0.43,4.7,367,['https://product.hstatic.net/200000722513/product/geforce-doom-tda-50-series-bundl-800x800_5b8fe565ba7741c49b07a2bffc41b00f.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/geforce-doom-tda-50-series-bundl-800x800_5b8fe565ba7741c49b07a2bffc41b00f.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop Lenovo ThinkBook 14 G6 IRL 21KG00BXVN,1067258746,LENOVO,https://product.hstatic.net/200000722513/product/thinkbook_14_g6_irl_ct1_03_8c40e3e58077410f9f2970d0e7d6f160.png,18490000.0,10354400,0.44,2.8,472,['https://product.hstatic.net/200000722513/product/thinkbook_14_g6_irl_ct1_03_8c40e3e58077410f9f2970d0e7d6f160.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/thinkbook_14_g6_irl_ct1_03_8c40e3e58077410f9f2970d0e7d6f160.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
"Màn hình cong AOC C27G4Z 27"" 280Hz Adaptive Sync chuyên game",1067253406,AOC,https://product.hstatic.net/200000722513/product/aoc_c27g4z_gearvn_ac2c94faaf474a53a92fe6b9ba2f7d08.jpg,3890000.0,2567400,0.34,0.3,473,['https://product.hstatic.net/200000722513/product/aoc_c27g4z_gearvn_ac2c94faaf474a53a92fe6b9ba2f7d08.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/aoc_c27g4z_gearvn_ac2c94faaf474a53a92fe6b9ba2f7d08.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
"Màn hình AOC 24G4H 24"" Fast IPS 200Hz chuyên game",1067242908,AOC,https://product.hstatic.net/200000722513/product/aoc_24g4h_200hz_gearvn_2e44669d656a4c688fc62379e991572e.jpg,3290000.0,2303000,0.3,1.7,238,['https://product.hstatic.net/200000722513/product/aoc_24g4h_200hz_gearvn_2e44669d656a4c688fc62379e991572e.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/aoc_24g4h_200hz_gearvn_2e44669d656a4c688fc62379e991572e.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop Lenovo ThinkPad X9-14 Gen 1 21QA006GVN,1067233716,LENOVO,https://product.hstatic.net/200000722513/product/thinkpad_x9_14_gen_1_ct1_06_555f339751314b21836221e78f062056.png,47990000.0,36952300,0.23,1.2,244,['https://product.hstatic.net/200000722513/product/thinkpad_x9_14_gen_1_ct1_06_555f339751314b21836221e78f062056.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/thinkpad_x9_14_gen_1_ct1_06_555f339751314b21836221e78f062056.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop Lenovo ThinkPad X9-15 Gen 1 21Q60055VN,1067233519,LENOVO,https://product.hstatic.net/200000722513/product/thinkpad_x9_15_gen_1_ct1_03_666a31f4136549008e9eb50fc9164ff9.png,54990000.0,40142700,0.27,4.3,125,['https://product.hstatic.net/200000722513/product/thinkpad_x9_15_gen_1_ct1_03_666a31f4136549008e9eb50fc9164ff9.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/thinkpad_x9_15_gen_1_ct1_03_666a31f4136549008e9eb50fc9164ff9.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
